SPR nom.Уровень2,SPR nom.Уровень3,SPR nom.Уровень4,SPR nom.Уровень5,SPR nom.Номенклатура,Код ном
04 Замороженная продукция,0405 Мороженое,040501 Мороженое порционное,"04050102 Мороженое в стаканчике, вафельном рожке, брикете",Мороженое Коровка из Кореновки шоколад стакан 100г БЗМЖ,207634,
04 Замороженная продукция,0405 Мороженое,040502 Мороженое больших объемов,04050202 Молочное мороженое с наполнителями,Мороженое Коровка из Кореновки пломбир двухслойное ваниль/манго/маракуя полено 400г БЗМЖ,207636,
04 Замороженная продукция,0405 Мороженое,040502 Мороженое больших объемов,04050202 Молочное мороженое с наполнителями,Мороженое Коровка из Кореновки пломбир двухслойное ваниль/черная смородина полено 400г БЗМЖ,207637,
04 Замороженная продукция,0405 Мороженое,040501 Мороженое порционное,"04050101 Мороженое в глазури, эскимо",Мороженое Коровка из Кореновки пломбир в шоколадной глазури с фундуком эскимо 70г БЗМЖ,207638,
02 Скоропортящиеся товары,0201 Молочная продукция,"020104 Современная молочная продукция, десерты",02010402 Густые творожные десерты,"Паста творожная Савушкин Черника/Ежевика 3,5% 100г БЗМЖ",207645,
02 Скоропортящиеся товары,0201 Молочная продукция,"020104 Современная молочная продукция, десерты",02010402 Густые творожные десерты,"Паста творожная Савушкин Кокос/Миндаль 3,5% 120г БЗМЖ",207646,
"06 Напитки, Табак",0603 Крепкие спиртные напитки,060304 Коньяк,06030402 Коньяк,"Коньяк Армянский 5 лет SPAR 0,1л 40%",207647,
07 Непродовольственные товары,0711 Печатная продукция,071102 Книги и раскраски,"07110201 Книги, карты",Книга Любимые сказки,207755,
05 Продовольственные товары,"0502 Чай, Кофе, Какао",050202 Кофе,05020203 Растворимый кофе,Кофе растворимый Якобс Лесной орех натуральный 95г ст/б,207774,
05 Продовольственные товары,"0502 Чай, Кофе, Какао",050202 Кофе,05020203 Растворимый кофе,Кофе растворимый Монарх Карамель 95г ст/б,207775,
02 Скоропортящиеся товары,0201 Молочная продукция,020102 Кисломолочная продукция традиционная,02010206 Сметана,Сметана Кот де Франс 20% 315г БЗМЖ,207776,
02 Скоропортящиеся товары,0201 Молочная продукция,"020108 Масло, маргарин, спред",02010801 Масло,"Масло сливочное Кот де Франс 82,5% 180г БЗМЖ",207777,
05 Продовольственные товары,0511 Кондитерские изделия,051104 Прикасса,05110401 Жевательные резинки,"Жевательная резинка Дирол Тропический коктейль 13,6г",207786,
02 Скоропортящиеся товары,0202 Сыр,020202 Плавленый сыр,02020204 Копченый плавленый сыр,Сыр колбасный копченый плавленый Правдинка 30% вес в/у БЗМЖ,207831,
04 Замороженная продукция,0405 Мороженое,040501 Мороженое порционное,"04050102 Мороженое в стаканчике, вафельном рожке, брикете",Мороженое 48 Копеек Малина стакан 160 мл БЗМЖ,207844,
04 Замороженная продукция,0405 Мороженое,040501 Мороженое порционное,"04050101 Мороженое в глазури, эскимо",Мороженое Балтийское Сливочно ванильное в глазури эскимо 70г БЗМЖ,207846,
02 Скоропортящиеся товары,0201 Молочная продукция,"020104 Современная молочная продукция, десерты",02010406 Питьевые йогурты,"Йогурт питьевой Нежинская МФ Ананас/Кокос 2,5% 275г БЗМЖ",207855,
07 Непродовольственные товары,0706 Одноразовые посуда и Принадлежности для приготовления,070601 Одноразовая посуда,07060101 Одноразовая посуда пластиковая,Тарелки SPAR БИО 23см 6шт,207856,
07 Непродовольственные товары,0706 Одноразовые посуда и Принадлежности для приготовления,070601 Одноразовая посуда,07060101 Одноразовая посуда пластиковая,Стаканы SPAR БИО 240мл 6шт,207857,
07 Непродовольственные товары,0706 Одноразовые посуда и Принадлежности для приготовления,070601 Одноразовая посуда,07060101 Одноразовая посуда пластиковая,Миски SPAR БИО 450/470мл 6шт,207858,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070302 Дезодоранты,07030201 Женские дезодоранты спрей,Део Деоника 125мл Авокадо для тела от 8 лет спрей,207862,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070302 Дезодоранты,07030202 Женские дезодоранты ролик,Део Деоника 50мл Авокадо для тела от 8 лет ролл,207863,
07 Непродовольственные товары,"0701 Моющие и чистящие средства, Бытовая химия","070105 Инсектициды, средства от насекомых","07010502 Средства, отпугивающие насекомых (мух, комаров, клещей)",Аэрозоль Picnic Extreme от летающих насекомых и клещей,207864,
02 Скоропортящиеся товары,0201 Молочная продукция,020102 Кисломолочная продукция традиционная,02010201 Кефир,"Кефир Залесский Фермер Фермерский Натуральный 3,2% бутылка 900г БЗМЖ",207875,
05 Продовольственные товары,"0502 Чай, Кофе, Какао","050201 Чай, Чайные напитки",05020103 Чай зеленый пакетир.,Чай Тесс Гет Детокс зеленый 20пак,207877,
05 Продовольственные товары,"0502 Чай, Кофе, Какао","050201 Чай, Чайные напитки",05020103 Чай зеленый пакетир.,Чай Тесс Гет Энерджи зеленый 20пак,207878,
05 Продовольственные товары,"0502 Чай, Кофе, Какао","050201 Чай, Чайные напитки",05020111 Чай черный с добавками пакетир,Чай Тесс Гет Релакс черный 20пак,207880,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070303 Средства для ванны и душа,"07030303 Гели, крема для душа",Гель для душа Камей 250мл Цветы Граната Ботаникс,207885,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070303 Средства для ванны и душа,"07030303 Гели, крема для душа",Гель для душа Камей 750мл Цветы Граната Ботаникс,207886,
02 Скоропортящиеся товары,0207 Мясные и мясоколбасные деликатесы,"020704 Сырокопчёные, сыровяленые колбасы",02070403 Сырокопченые и сыровяленые колбасы нарезка,Колбаса с/к Сальчичон Черкизово нарезка 100г,207895,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070304 Средства ухода за волосами,"07030402 Кондиционеры, маски, масла для волос",Бальзам Глисс Кур 360мл Жидкий шелк,207938,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070304 Средства ухода за волосами,"07030402 Кондиционеры, маски, масла для волос",Бальзам Глисс Кур 360мл Оил Нутритив,207939,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070304 Средства ухода за волосами,"07030402 Кондиционеры, маски, масла для волос",Бальзам Глисс Кур 360мл Экстремальное восстановление,207940,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070304 Средства ухода за волосами,07030401 Шампунь,Шампунь Syoss 450мл Volume Lift для тонких и ослабленных волос,207941,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070304 Средства ухода за волосами,"07030402 Кондиционеры, маски, масла для волос",Бальзам Syoss 450мл Volume Lift для тонких ослабленных волос,207942,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070304 Средства ухода за волосами,07030401 Шампунь,Шампунь Syoss 450мл Power & Strength для нормальных волос муж,207943,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160101 Корм для кошек консервированный,Корм для котят рагус курицей Вискас 75г,207970,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160101 Корм для кошек консервированный,"Корм для кошек Аппетитный микс с говядиной, языком и овощами в желе Вискас 75г",207974,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160101 Корм для кошек консервированный,Корм для кошек желес говядиной и ягненком Вискас 75г,207978,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160101 Корм для кошек консервированный,Корм для кошек желес курицей Вискас 75г,207979,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160101 Корм для кошек консервированный,Корм влажный для кошек Вискас паштет с говядиной и печенью 75г,207981,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160101 Корм для кошек консервированный,Корм для кошек паштет с курицей и индейкой Вискас 75г,207982,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160101 Корм для кошек консервированный,Корм для кошек паштет с уткой Вискас 75г,207984,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160101 Корм для кошек консервированный,Корм для кошек рагус говядиной и ягненком Вискас 75г,207985,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160101 Корм для кошек консервированный,Корм для кошек рагус индейкой и кроликом Вискас 75г,207986,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160101 Корм для кошек консервированный,Корм для кошек рагус курицей Вискас 75г,207987,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160101 Корм для кошек консервированный,Корм для кошек рагус треской и лососем Вискас 75г,207988,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160101 Корм для кошек консервированный,Корм для кошек Мясная коллекция с говядиной Вискас 75г,207989,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160101 Корм для кошек консервированный,Корм влажный для кошек Вискас желес курицей и индейкой 75г,207990,
03 Готовая еда,0301 Готовая еда ЦЕХ,"030102 Вторые блюда, гарниры ЦЕХ",03010203 Вторые блюда из мяса ЦЕХ,Лапша в устричном соусе ГП Цех,208017,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010102 Плодовые овощи,"01010202 Огурцы, патиссоны, кабачки, тыква",Огурцы Фермерские вес,208019,
"06 Напитки, Табак",0607 Слабоалкогольные напитки,060701 Пиво,06070102 Пиво светлое,"Пиво светлое Ловенбрау Оригинальное 1,3л 5,4% пэт",208020,
07 Непродовольственные товары,0712 Игрушки и Канцтовары,071202 Канцтовары и товары для творчества,07120201 Канцтовары,Набор шариковых ручек 2 шт синие Центрум,208046,
"06 Напитки, Табак",0604 Игристые вина,060402 Игристые вина,06040206 Игристые винные напитки,"Напиток слабоалкогольный газированный Санто Стефано Римские Каникулы бел п/сл 0,75л 8%",208078,
"06 Напитки, Табак",0604 Игристые вина,060402 Игристые вина,06040206 Игристые винные напитки,"Напиток слабоалкогольный газированный Санто Стефано бел п/сл 0,75л 8%",208079,
"06 Напитки, Табак",0604 Игристые вина,060402 Игристые вина,06040206 Игристые винные напитки,"Напиток слабоалкогольный газированный Санто Стефано Сицилийская Свадьба бел п/сл 0,75л 8%",208080,
"06 Напитки, Табак",0604 Игристые вина,060402 Игристые вина,06040206 Игристые винные напитки,"Напиток слабоалкогольный газированный Санто Стефано бел п/сух 0,75л 8%",208081,
03 Готовая еда,0301 Готовая еда ЦЕХ,"030102 Вторые блюда, гарниры ЦЕХ",03010203 Вторые блюда из мяса ЦЕХ,Шашлык из мяса цыплёнка ГП ЦЕХ,208089,
07 Непродовольственные товары,"0714 Товары для праздника, Сувениры","071402 Сувениры, Вазы, свечи",07140204 Сувениры Кенигсберга,"Путеводитель ""Зеленоградск – Куршская коса"" со схемой",208094,
05 Продовольственные товары,0513 Снеки и Соленые закуски,051301 Чипсы,05130101 Чипсы картофельные,Чипсы SPAR Краб 90г,208105,
05 Продовольственные товары,0513 Снеки и Соленые закуски,051301 Чипсы,05130101 Чипсы картофельные,Чипсы SPAR Сметана с Луком 90г,208106,
05 Продовольственные товары,0513 Снеки и Соленые закуски,051301 Чипсы,05130101 Чипсы картофельные,Чипсы SPAR Сыр 90г,208107,
"01 Фрукты, Овощи, Цветы свежие",0102 Цветы,010202 Цветы горшечные,01020201 Цветы горшечные,Растение комнатное Плант микс в горшке 1шт,208225,
"01 Фрукты, Овощи, Цветы свежие",0102 Цветы,010202 Цветы горшечные,01020201 Цветы горшечные,Растение комнатное Монстера,208226,
"01 Фрукты, Овощи, Цветы свежие",0102 Цветы,010202 Цветы горшечные,01020201 Цветы горшечные,Растение уличное Хризантема Маскарад,208228,
05 Продовольственные товары,"0506 Соусы, Майонезы, Уксус",050608 Уксус,05060801 Уксус столовый,Уксус столовый Новый Урожай 9% 1л,208278,
04 Замороженная продукция,0402 Полуфабрикаты замороженные,040208 Замороженные блюда,04020801 Замороженные вторые блюда готовые,Плов с мясом цыпленка Российская корона 300 г,208307,
04 Замороженная продукция,0402 Полуфабрикаты замороженные,040202 Куриные полуфабрикаты обработанные зам,"04020201 Нагетсы, медальоны зам",Наггетсы из мяса цыпленка с ветчиной в панировке Золотой петушок 300г,208308,
"06 Напитки, Табак",0608 Табачные изделия,"060801 Сигареты, Табак","06080101 Сигареты, табак",Сигареты Мальборо Виста Форест Мист,208318,
"06 Напитки, Табак",0608 Табачные изделия,"060801 Сигареты, Табак","06080101 Сигареты, табак",Сигареты Мальборо Крафтед компакт,208319,
"06 Напитки, Табак",0608 Табачные изделия,"060803 Системы нагревания табака, Стики табачные",06080302 Табачные стики для систем нагревания табака,Стик Хитс Саммер Бриз,208320,
"06 Напитки, Табак",0608 Табачные изделия,"060803 Системы нагревания табака, Стики табачные",06080302 Табачные стики для систем нагревания табака,Стик Фит Тропик,208321,
02 Скоропортящиеся товары,0207 Мясные и мясоколбасные деликатесы,020705 Мясные деликатесы из свинины,02070505 Мясо сырокопченое и сыровяленое из свинины шт,Сало Литовское с/к в/у БалтАгрос 350г,208330,
02 Скоропортящиеся товары,0207 Мясные и мясоколбасные деликатесы,"020709 Паштеты, зельц, сало, шпиг",02070901 Паштет,Паштет Фермерский из говяжьей печени Добринское ФХ 100г,208332,
07 Непродовольственные товары,0712 Игрушки и Канцтовары,"071201 Игрушки, развивающие игры",07120101 Игрушки и наборы игровые детские,Аппликация L.O.L. И POOPSIE объемная в ассортименте,208336,
07 Непродовольственные товары,0712 Игрушки и Канцтовары,"071201 Игрушки, развивающие игры",07120101 Игрушки и наборы игровые детские,Аппликация L.O.L. И POOPSIE сверкающим песком в ассортименте,208337,
07 Непродовольственные товары,0712 Игрушки и Канцтовары,"071201 Игрушки, развивающие игры",07120101 Игрушки и наборы игровые детские,Модные декорации L.O.L.,208338,
07 Непродовольственные товары,0712 Игрушки и Канцтовары,"071201 Игрушки, развивающие игры",07120101 Игрушки и наборы игровые детские,Слайм Стекло Butter в ассортименте 75гр,208344,
07 Непродовольственные товары,0712 Игрушки и Канцтовары,"071201 Игрушки, развивающие игры",07120101 Игрушки и наборы игровые детские,Настольная игра мини Руммикуб/Боулинг в ассортименте,208346,
02 Скоропортящиеся товары,0209 Мясо и птица охлажденные ЦЕХ и ФЛП,020902 Птица и полуфабрикаты из птицы охл ЦЕХ,02090201 Тушка и части цыпленка охл ЦЕХ,Спинка куриная ПФ ЦЕХ,208366,
"06 Напитки, Табак",0601 Напитки безалкогольные,"060104 Энергетические, функциональные напитки",06010401 Энергетические напитки,"Напиток энергетический Адреналин Игровая энегрия Манго 0,45л",208376,
"06 Напитки, Табак",0604 Игристые вина,060402 Игристые вина,06040206 Игристые винные напитки,"Напиток слабоалкогольный газированный Санто Стефано по -итальянски кр п/сл 0,75л 8%",208379,
"06 Напитки, Табак",0604 Игристые вина,060402 Игристые вина,06040206 Игристые винные напитки,"Напиток слабоалкогольный газированный Аллегро Неро кр п/сл 0,75л 7%",208380,
"06 Напитки, Табак",0604 Игристые вина,060402 Игристые вина,06040206 Игристые винные напитки,"Напиток слабоалкогольный газированный Санто Стефано роз п/сл 0,75л 8%",208381,
03 Готовая еда,0306 Готовая еда СП развесная,030606 Суши СП развесные,"03060601 Суши, роллы, гункан СП развесные",ЛП Японский сэндвич с жареной семгой 230г,208445,
03 Готовая еда,0306 Готовая еда СП развесная,030606 Суши СП развесные,"03060601 Суши, роллы, гункан СП развесные",ЛП Ролл Унаги-маки с угрем 215г,208447,
02 Скоропортящиеся товары,0213 Мясные и мясоколбасные деликатесы ЦЕХ и ФЛП,"021302 Сосиски, сардельки ФЛП",02130201 Сосиски шт ФЛП,Сосиски Мазурки из индейки 400г,208462,
07 Непродовольственные товары,"0714 Товары для праздника, Сувениры","071402 Сувениры, Вазы, свечи",07140204 Сувениры Кенигсберга,Путеводитель Светлогорск со схемой,208463,
03 Готовая еда,0306 Готовая еда СП развесная,030606 Суши СП развесные,03060602 Сеты суши СП развесные,ЛП Сэт Классический 330г,208466,
03 Готовая еда,0306 Готовая еда СП развесная,030606 Суши СП развесные,03060602 Сеты суши СП развесные,ЛП Сэт для двоих 430г,208467,
02 Скоропортящиеся товары,0207 Мясные и мясоколбасные деликатесы,"020701 Сосиски, сардельки",02070101 Сосиски шт,Сосиски Калининградские Альмак г/у 315г,208475,
07 Непродовольственные товары,0706 Одноразовые посуда и Принадлежности для приготовления,070601 Одноразовая посуда,07060103 Одноразовая посуда деревянная,"Набор столовых приборов Spar БИО на 1 персону (1 вилка,1 ложка,1 нож)",208476,
05 Продовольственные товары,0501 Консервация,050106 Рыбная консервация и из морепродуктов,05010602 Тунец консервы,Тунец филе натуральный Скипджек Spar 185г,208485,
05 Продовольственные товары,0501 Консервация,050106 Рыбная консервация и из морепродуктов,05010602 Тунец консервы,Тунец филе в масле Скипджек Spar 185г,208486,
05 Продовольственные товары,0501 Консервация,050106 Рыбная консервация и из морепродуктов,05010602 Тунец консервы,Тунец измельченный натуральный для салатов Скипджек Smart 185г,208487,
05 Продовольственные товары,0501 Консервация,050106 Рыбная консервация и из морепродуктов,05010602 Тунец консервы,Тунец измельченный в масле для салатов Скипджек Smart 185г,208488,
02 Скоропортящиеся товары,0208 Хлеб и выпечка,020801 Хлеб привозной,"02080103 Хлеб многозерновой, с добавками",Хлеб Белковый SPAR Хлебная коллекция с семенами чиа 300г,208492,
02 Скоропортящиеся товары,0208 Хлеб и выпечка,020801 Хлеб привозной,"02080104 Хлеб бездрожжевой, здоровые хлеба",Хлеб Пшенично-ржаной SPAR Хлебная коллекция бездрожжевой 370г,208493,
02 Скоропортящиеся товары,0208 Хлеб и выпечка,020801 Хлеб привозной,"02080103 Хлеб многозерновой, с добавками",Хлеб Пшеничный SPAR Хлебная коллекцияс зерном ржи 350г,208494,
02 Скоропортящиеся товары,0208 Хлеб и выпечка,020801 Хлеб привозной,"02080101 Хлеб, батон, багет из пшеничной муки",Хлеб Сэндвичный SPAR Хлебная коллекция 480г,208495,
02 Скоропортящиеся товары,0201 Молочная продукция,020106 Детское молочное питание до 3х лет,02010604 Йогурты питьевые до 3х лет,Йогурт питьевой Агуша Зеленое Яблоко/Мелисса с 8 мес 2.7% 180г БЗМЖ,208500,
02 Скоропортящиеся товары,0201 Молочная продукция,020106 Детское молочное питание до 3х лет,02010604 Йогурты питьевые до 3х лет,Йогурт питьевой Агуша Северные Ягоды с 8 мес 2.7% 180г БЗМЖ,208501,
02 Скоропортящиеся товары,0201 Молочная продукция,020106 Детское молочное питание до 3х лет,02010604 Йогурты питьевые до 3х лет,Йогурт питьевой Агуша Яблоко/Груша с 8 мес 2.7% 180г БЗМЖ,208502,
02 Скоропортящиеся товары,0201 Молочная продукция,020106 Детское молочное питание до 3х лет,02010604 Йогурты питьевые до 3х лет,Йогурт питьевой Агуша Клубника/Банан с 8 мес 2.7% 180г БЗМЖ,208503,
02 Скоропортящиеся товары,0201 Молочная продукция,020106 Детское молочное питание до 3х лет,02010603 Кисломолочные напитки до 3х лет,"Ряженка Агуша с 12 мес 3,2% пл/бут 180г БЗМЖ",208504,
02 Скоропортящиеся товары,0201 Молочная продукция,020106 Детское молочное питание до 3х лет,02010603 Кисломолочные напитки до 3х лет,Ряженка Агуша Клубника с 12 мес 2.9% пл/бут 180г БЗМЖ,208505,
02 Скоропортящиеся товары,0201 Молочная продукция,020106 Детское молочное питание до 3х лет,02010604 Йогурты питьевые до 3х лет,"Йогурт питьевой Агуша ЯСам! Клубника/Земляника 2,7% 180г БЗМЖ",208506,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010102 Плодовые овощи,"01010201 Томаты, баклажаны, перец",Перец Чили Artfruit 1уп,208523,
"06 Напитки, Табак",0604 Игристые вина,060402 Игристые вина,06040206 Игристые винные напитки,"Напиток слабоалкогольный газированный Аллегро крем-ваниль бел п/сл 0,75л 7%",208587,
07 Непродовольственные товары,0709 Товары для дома,070901 Посуда столовая и для напитков,"07090102 Бокалы, фужеры",Набор бокалов для шампанского Элеганс 170мл 2шт,208593,
03 Готовая еда,0301 Готовая еда ЦЕХ,"030107 Сэндвичи, панини, шаурма ЦЕХ",03010702 Панини ЦЕХ,Панини с курицей 220г Цех,208629,
03 Готовая еда,0301 Готовая еда ЦЕХ,"030107 Сэндвичи, панини, шаурма ЦЕХ",03010702 Панини ЦЕХ,Панини с ветчиной и салями 220г Цех,208630,
03 Готовая еда,0301 Готовая еда ЦЕХ,"030107 Сэндвичи, панини, шаурма ЦЕХ",03010702 Панини ЦЕХ,Панини с тунцом 220г Цех,208631,
03 Готовая еда,0301 Готовая еда ЦЕХ,"030107 Сэндвичи, панини, шаурма ЦЕХ","03010701 Сэндвичи, бутерброды ЦЕХ",Сэндвич с ветчиной и сыром 200гр Цех,208633,
03 Готовая еда,0301 Готовая еда ЦЕХ,"030107 Сэндвичи, панини, шаурма ЦЕХ","03010701 Сэндвичи, бутерброды ЦЕХ",Сэндвич с курицей гриль 200гр Цех,208634,
03 Готовая еда,0301 Готовая еда ЦЕХ,"030107 Сэндвичи, панини, шаурма ЦЕХ","03010701 Сэндвичи, бутерброды ЦЕХ",Сэндвич с салями и сыром 200гр Цех,208635,
03 Готовая еда,0301 Готовая еда ЦЕХ,030114 Станция Бургер ЦЕХ,"03011401 Гамбургеры, чизбургеры ЦЕХ",Гамбургер 250гр Цех,208636,
05 Продовольственные товары,0512 Детское питание,"051204 Снеки, Батончики, Печенье детское",05120402 Детские мюсли батончики,Кусочки фруктовые ФрутоНяня Улитка Яблоко/Банан/Клубника с 12 мес 15г,208670,
07 Непродовольственные товары,0712 Игрушки и Канцтовары,071202 Канцтовары и товары для творчества,07120202 Товары для творчества,Акварель ArtSpace медовая 6цв,208679,
07 Непродовольственные товары,0712 Игрушки и Канцтовары,071202 Канцтовары и товары для творчества,07120202 Товары для творчества,Акварель BRAUBERG Магия цвета 24цв медовые,208680,
07 Непродовольственные товары,0712 Игрушки и Канцтовары,071202 Канцтовары и товары для творчества,07120202 Товары для творчества,Гуашь ArtSpace 12цв 10мл,208681,
03 Готовая еда,0302 Готовая еда фасованная,030204 Салаты СП фасованные,03020401 Салаты майонезные СП фасованные,Салат Селедочка под шубой г/уп Люблинские продукты 200г,208751,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160101 Корм для кошек консервированный,Корм влажный для стерилизованных кошек с говядиной в соусе Перфект Фит 75г,208970,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160101 Корм для кошек консервированный,"Корм влажный для взрослых кошек, с говядиной в соусе Перфект Фит 75г",208971,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160101 Корм для кошек консервированный,"Корм влажный для кошек с чувствительным пищеварением, с индейкой в соусе, Перфект Фит 75г",208972,
05 Продовольственные товары,0516 Корма для животных,051601 Корм для кошек,05160101 Корм для кошек консервированный,"Корм влажный для стерилизованных кошек, с курицей в соусе, Перфект Фит 75г",208973,
"06 Напитки, Табак",0608 Табачные изделия,"060801 Сигареты, Табак","06080101 Сигареты, табак",Сигареты Честерфилд Оригинал,208985,
03 Готовая еда,0301 Готовая еда ЦЕХ,030105 Станция Суши ЦЕХ,"03010501 Суши, роллы, гункан ЦЕХ",Ролл Калифорния с семгой 225г Цех,208996,
05 Продовольственные товары,0501 Консервация,050105 Мясная консервация,05010505 Паштеты мясные консервы,Паштет с индейкой Хаме 117г,209008,
07 Непродовольственные товары,0702 Бумажно-ватная продукция и Средства гигиены,070205 Бумажная влажная продукция,07020501 Салфетки влажные,Салфетки влажные антибактер освеж Smart 15листов,209055,
07 Непродовольственные товары,0702 Бумажно-ватная продукция и Средства гигиены,070205 Бумажная влажная продукция,07020503 Салфетки для интимной гигиены влажные,Салфетки влажные гигиенические с гелем Алое Smart15листов,209056,
07 Непродовольственные товары,0702 Бумажно-ватная продукция и Средства гигиены,070205 Бумажная влажная продукция,07020501 Салфетки влажные,Салфетки влажные антибактериальныеSPAR 70 c клапаном,209057,
07 Непродовольственные товары,0704 Уход за ребенком,070401 Средства гигиены для детей,07040102 Влажные салфетки для детей,Салфетки влаж детские SPAR А120 пласт/клапан,209059,
07 Непродовольственные товары,0711 Печатная продукция,"071101 Газеты, журналы","07110101 Газеты, журналы",Журнал Самое лучшее для Вас,209062,
07 Непродовольственные товары,0711 Печатная продукция,"071101 Газеты, журналы","07110101 Газеты, журналы",Журнал Всё для пенсионера,209064,
05 Продовольственные товары,"0507 Специи, Приправы","050701 Специи, Приправы","05070103 Приправы, смеси специй с солью",Приправа для мяса по-домашнему Котани 25г,209066,
05 Продовольственные товары,"0507 Специи, Приправы","050701 Специи, Приправы",05070101 Специи однокомпонентные,Чеснок измельченный Котани 28г,209067,
"06 Напитки, Табак",0603 Крепкие спиртные напитки,060304 Коньяк,06030402 Коньяк,"Коньяк Армянский Тарос 3 года 0,5л 40%",209069,
"06 Напитки, Табак",0603 Крепкие спиртные напитки,060304 Коньяк,06030402 Коньяк,"Коньяк Армянский Тарос 5 лет 0,5л 40%",209070,
"06 Напитки, Табак",0603 Крепкие спиртные напитки,060304 Коньяк,06030402 Коньяк,"Коньяк Армянский Тарос 7 лет 0,5л 40%",209071,
"06 Напитки, Табак",0603 Крепкие спиртные напитки,060304 Коньяк,06030402 Коньяк,Коньяк Старый Кёнигсберг 5 лет 0.1л 40%,209093,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы","010103 Зелень, семена",01010301 Зелень,Набор для чая Арома100г,209094,
07 Непродовольственные товары,0709 Товары для дома,"070902 Посуда, инвентарь для приготовления и хранения пищи","07090206 Посуда, емкости для хранения продуктов","Контейнер д/продуктов с ручкой прямоуг 2,0л",209095,
07 Непродовольственные товары,0709 Товары для дома,"070902 Посуда, инвентарь для приготовления и хранения пищи","07090206 Посуда, емкости для хранения продуктов","Контейнер д/продуктов прямоуг 0,77л",209097,
07 Непродовольственные товары,0709 Товары для дома,"070902 Посуда, инвентарь для приготовления и хранения пищи","07090206 Посуда, емкости для хранения продуктов","Контейнер д/продуктов прямоуг 1,1л",209098,
07 Непродовольственные товары,0709 Товары для дома,"070902 Посуда, инвентарь для приготовления и хранения пищи","07090206 Посуда, емкости для хранения продуктов",Ланч-бокс д/продуктов,209100,
07 Непродовольственные товары,"0707 Упаковочные материалы, Пакеты","070701 Упаковочные материалы, Пакеты",07070101 Пакеты п/э,Сумка текстильная стандарт Арт Дизайн,209103,
02 Скоропортящиеся товары,0209 Мясо и птица охлажденные ЦЕХ и ФЛП,020901 Мясо и полуфабрикаты из мяса охл ЦЕХ,02090102 Говядина кусок и п/ф натуральные охл ЦЕХ,Говядина фермерская н/к п\ф Цех,209107,
"06 Напитки, Табак",0602 Водка и Настойки,060201 Водка,06020102 Водка,"Водка Пять Озер Студеная особая 0,5л 40%",209116,
"06 Напитки, Табак",0602 Водка и Настойки,060202 Настойки,06020202 Настойки,"Настойка горькая Мягков со вкусом клюквы 0,5л 30%",209117,
02 Скоропортящиеся товары,0201 Молочная продукция,"020104 Современная молочная продукция, десерты",02010401 Глазированные сырки,Сырок творожный глазированный Нежинский Кокос/Молочный Шоколад 18% 40г БЗМЖ,209120,
02 Скоропортящиеся товары,0201 Молочная продукция,"020104 Современная молочная продукция, десерты",02010401 Глазированные сырки,Сырок творожный глазированный Нежинский Малина/Молочный Шоколад 18% 40г БЗМЖ,209121,
"06 Напитки, Табак",0608 Табачные изделия,"060801 Сигареты, Табак","06080101 Сигареты, табак",Сигареты Кэмел компакт 100 Тропикал Краш,209125,
05 Продовольственные товары,"0503 Крупы, Сухие завтраки, Макаронные изделия",050303 Каши быстрого приготовления и хлопья,"05030303 Овсяные хлопья, геркулес",Хлопья Геркулес Нежный Русский продукт 450г,209199,
05 Продовольственные товары,"0503 Крупы, Сухие завтраки, Макаронные изделия",050303 Каши быстрого приготовления и хлопья,"05030303 Овсяные хлопья, геркулес",Хлопья Геркулес Традиционный Русский продукт 500г,209200,
