SPR nom.Уровень2,SPR nom.Уровень3,SPR nom.Уровень4,SPR nom.Уровень5,SPR nom.Номенклатура,Код ном
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010105 Ягоды,01010501 Виноград,Виноград белый без косточки,4705,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010104 Фрукты,"01010403 Семечковые (яблоки, груша, айва)",Яблоки Голден SPAR фас,4707,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010105 Ягоды,01010501 Виноград,Виноград черный вес,4710,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010104 Фрукты,"01010404 Косточковые (вишня, слива, абрикос, персик)",Слива желтая вес,4711,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010104 Фрукты,"01010406 Тропические (ананасы, манго)",Ананас свежий 1шт К,4753,
04 Замороженная продукция,0403 Рыба и морепродукты замороженные,040303 Крабовые палочки зам,04030301 Крабовые палочки зам,Мясо крабовое Вичи замороженное 200г,4820,
05 Продовольственные товары,0501 Консервация,050106 Рыбная консервация и из морепродуктов,05010610 Прочие рыбные консервы в томатном соусе,Килька балтийская неразделанная обжаренная в т/с по-венгерски За Родину ключ 240г,4924,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010102 Плодовые овощи,"01010202 Огурцы, патиссоны, кабачки, тыква",Огурцы Тепличные вес,4964,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010101 Овощи вегетативные,"01010104 Лук, чеснок",Лук репчатый вес,5017,
05 Продовольственные товары,"0503 Крупы, Сухие завтраки, Макаронные изделия","050301 Готовые завтраки, Мюсли",05030101 Сухие готовые завтраки,Завтрак готовый Любятово Колечки овсяные с медом 200г,5060,
05 Продовольственные товары,0511 Кондитерские изделия,051104 Прикасса,"05110403 Шоколадные плитки, батончики, конфеты прикасса",Батончик шоколадный Твикс 50г,5238,
"06 Напитки, Табак",0601 Напитки безалкогольные,060101 Соки и сокосодержащие напитки,"06010101 Соки, нектары фруктово-ягодные",Нектар Добрый Малина 1л,5385,
05 Продовольственные товары,0501 Консервация,"050102 Мед, варенье, сиропы",05010201 Варенье,Варенье SPAR по-домашнему из черники 300г,5391,
05 Продовольственные товары,0501 Консервация,"050102 Мед, варенье, сиропы",05010201 Варенье,Варенье SPAR по-домашнему из вишни 300г,5393,
05 Продовольственные товары,0501 Консервация,"050102 Мед, варенье, сиропы",05010201 Варенье,Варенье SPAR по-домашнему из клубники 300г,5394,
"06 Напитки, Табак",0602 Водка и Настойки,060201 Водка,06020102 Водка,Водка Русский стандарт 0.5л 40%,5557,
07 Непродовольственные товары,0711 Печатная продукция,"071101 Газеты, журналы","07110101 Газеты, журналы",Газета Экспресс,6124,
02 Скоропортящиеся товары,0201 Молочная продукция,020103 Творог,02010304 Творог рассыпчатый,Творог рассыпчатый Кот де Франс 5% пакет 200г БЗМЖ,6216,
